"reviewer_username","review_title","review_date","review_text","rating"
"TechnicallyTwisted","A testament to no-budget film-making","12 September 1999","This film has maybe been one of the most hated 100 million dollar grosses in history. Before seeing this movie one should know absolutely nothing about it. Not even what the critics have said. It is a very creepy film. I for one loved it. I love the fact that it had virtually no-budget and it has made tons of money. It deserves it. It provides more atmosphere and creepiness than any horror film released this decade. The way it is presented, as the footage taken by 3 missing film-makers, is so simple yet pure genius. I've heard people complain that anyone with a video camera could have made this. This is true, but those people didn't and these people did. They had the idea and those who criticize it are just displaying their jealousy that they didn't think of it first. An instant classic whether you like it or not.","8"
"Lloyd-23","Tense, unsettling, original, intelligent, short, cheap.","3 November 1999","This film is not a feature film. For a start, it is not feature length, also, it is not shot on film. More importantly, it does not have what feature films have these days: star actors, special effects, exotic locations, explosions. Instead, seeing B.W.P. is seeing something else that a cinema can be: a place where people can share an intimate experience created by a few people on a tight budget. I would be glad of its success if only for that reason.

The first section of the film appears at first to be amateurish and slow. In fact, it is very deft, and very efficient at what it does. It tells the audience everything it needs to know about the characters and situation, and nothing more. Also, it gets the audience into the habit of viewing the film's format: alternating between black and white (very grainy and poorly focussed) film, and the washed out colours of shaky pixilated video. The film makers managed to set up a rationale for why the film is so cheaply made. Three people hike into the woods for a few days to shoot a documentary, with borrowed equipment, and are in the habit of videoing everything for the hell of it. They cannot carry tripods, steadicams, dollies, large lighting rigs, or the like, so everything we see is lit either by raw daylight, or by a single light fixed to the camera, which illuminates just what is within a few feet of the lens. The film creates its own excuse to be cheap. This is intelligent.

The acting and script are both excellent. The well-cast actors are presumably playing pretty-much themselves, and are convincingly naturalistic, and neither too likeable or too dislikeable. The slow route into hysteria is well documented. Rather than simply having a character say ""We're lost!"", we see many scenes which show the trio getting more and more hopelessly lost, and more annoyed with each other for this. By the time they are thoroughly lost, the audience shares the despair.

My friend and I, after seeing it, both felt a little sick. I put this down to my having been tense for a hour, he put it down more to motion sickness. The jerky, badly-framed camerawork is hard on the eye and stomach, but I applaud the director for its uncompromising use. Similarly, no compromise is made with the dialogue. Some of it is very quiet and must be listened for, some is technical jargon, which is left realisticly unexplained.

One of the great strengths and weaknesses of the film is the editing. It is good in that it does much to heighten the tension, with many key moments lasting just a little too long for comfort. Each time the characters find something nasty, the viewer is made to want the editor to cut soon to the next scene, and the fact that he doesn't adds to the sense of being trapped, as the characters are. The problem with this, though, is that one is left wondering about the motives of the fictional editor. In truth, of course, the film is edited to create these effects, and to entertain, but the film's rationale is that these are the rushes of a documentary put together posthumously by someone other than the film's original creator. Why, then, would an editor piecing together such footage, edit for dramatic effect rather than for clarity? Why would he keep cutting back and forth from the video footage to the film footage, when neither shows any more information than the other?

The film is stark. After one simple caption at the start, all that follows is the ""rushes"". I wonder if the film might not have been improved with an introductory section which documented how the rushes were found and edited. A programme was made for television which did this. Perhaps a portion of this might have been added to the film, making it more complete, and more believable (and proper feature length).

While I applaud the fact that young original film-makers have managed to create a mainstream hit out of a simple idea, well-handled. I dread the possible avalanche of inferior copies which may come.

Most horror films these days are created not for the audience, but for the makers. The departments of special effects, make-up, model-making, animation and so forth all try hard to show potential future employers what they can do. The result is that nothing is left for the audience to do, since everything can be seen and heard, and the viewer's imagination can be switched off. Today, it is possible to see pigs fly on the screen, and so film-makers show off and show us a formation of Tamworths, which is something which will look impressive in the trailer. To show us less is to make our minds fill in the gaps. This way, we create our own terrors, perfectly fitted to ourselves. The ghastly face I see in my head, is the ghastly head which I find scary. The ghastly face I am shown may be one I can cope with quite easily. If I see a believable character screaming in hysterical fear at something I cannot see, my own brain creates demons for my night's dreams, demons far more mighty than anything CGI graphics or a latex mask could portray.

This film will stay in your thoughts for some while.",NA
"parkerposeytso","You had to see when it came out","4 December 2021","If you were not able to go see this movie in 1999 in the theaters when it first came out you cannot understand the HYPE for this movie, they had released ""documentaries"" about this prior to everyone seeing this film, so when I went and saw this for the first time it was made to believe this was actually found film footage, I know now it's fake now but back then when the internet was young people believed this was found footage, I could not get anyone back then to go with me (too scared) so I went by myself, I will never forget how scared I was and still makes me love this film because of that fact.","10"
"Leofwine_draca","A film that turned me into a nervous wreck","21 December 2015","On a Sunday morning in 1999 I made a rare venture to a multiplex cinema, which is 17 or so miles away from my house. I don't usually make a habit of travelling that sort of distance to see a mere film, but I felt that this one in particular was special. I mean, nobody on the face of this planet can fail to have heard of THE BLAIR WITCH PROJECT, a low budget independent production which took Hollywood by storm and became the most profitable film of all time. My expectations were high, based on the hype. Then it began...

I remembered hearing that the dizzying camera work could induce nausea, but happily I was not afflicted in this way. The shaky hand-held camera didn't annoy me in the least, and in fact within just a few minutes I was settled into the film, engrossed. As time went on, my nerves began to fray along with those of the guys on screen, and my heart beat faster. By the end of the film I might have well as been a nervous wreck. Because, more than any other film I've seen in my life, this film scared me. Yes, it was creepy and extremely disturbing too, but mainly it was just scary.

Now I've read all the negative comments about the film simply not being scary. I can understand this, because for one to be truly affected by the film then you have to make an effort to engross yourself in the events, to believe that they are real, to not get distracted by the person sitting next to you. It's easy to sit back and laugh, but it's hard to actually get into a film and be there with the characters. Thankfully I did this and I had one of the scariest experiences of my life, an experience which left me scared to go to sleep that night in case I dreamt about it (I didn't, though, thankfully).

The inventive use of the hand-held cameras really makes the viewer feel as if he/she is there in the film. Well, not totally perhaps, but halfway between reality and the celluloid strip. While the film may not be totally original (take, for example, the previous year's THE LAST BROADCAST), in the light of contemporary dull 'post-modern' horror films like SCREAM 2, HALLOWEEN H20 and THE FACULTY, this is a breath of fresh air. I've heard people moan and complain that nothing happens and you don't get to see anything. Well, that's the point...it's left up to your imagination, and I suppose that if you don't have one, then the film just won't scare you. It's the viewer who's lacking, not the film.

The acting is surprisingly brilliant and realistic. You really get to feel for the actors by the end of the film, and each of the three is a solid, well-drawn person who could be a neighbour. Michael Williams is the most likable of the three, he loses his cool first but then regains it at the end. Joshua Leonard is the most tragic of the three as he sits and cries, and you really feel sorry for his character. Many people have said they didn't like Heather Donahue, but I thought she was amazing. The best bit has to be when she holds the camera up to her face and apologises to the trio's parents. Heather is believable, sympathetic, and her performance really tugs at the heart. The film may have a high level of swearing, but then again I'm sure if I was in that situation I wouldn't mind my language. The trio are simply superb and their acting creates believable characters to sympathise with and understand throughout.

The woods are a perfect setting to conjure up fear (see THE EVIL DEAD and many others) and this film makes full use of them. Behind every tree lurks an unseen menace. I've been in the woods myself at night, and the atmosphere is just right. I don't know if I'll be able to venture into them again in the dark, though. There are also some surprisingly intense moments when the students fight amongst each other, some say that these are funny but they actually brought tears to my eyes...not because I was sad, but just because of the ferocity and violence and because I felt so sorry for the three.

The actual horror elements in the film are outstanding, subtle and all the more effective for it. The piles of stones and stick men hanging in the trees are very disturbing, as is the slime covering the backpack. The worst of all has to be the teeth and things wrapped in the cloth, a moment which is hard to watch. The night time scenes are the most chilling, with the unknown noises and even the - shudder - sound of cackling and a baby crying. So creepy, and so frightening. The bit where the tent is violently attacked from the outside comes out of nowhere, and made me jump out of my seat in terror, it's that horrible. And of course the finale in the ruined house is just totally eerie with the laughing and the jolting, disorientating cameras spinning around in a last desperate rush. The final frames of the film are the most inexplicable and unnatural and leave the viewer pondering events well after the film is over to draw their own conclusions.

As you might just be able to tell, I loved THE BLAIR WITCH PROJECT which easily lived up to the hype in my opinion. I'll be sure to buy the video when it comes out. Unmissable, a classic, I can't praise this film enough. The scariest thing I have ever seen!","10"
"deadkerouac","Generation Xers head into woods; we view excellent results","17 July 2000","I saw this film last night, LONG after all the hype and reviews were made about it. I settled in with the right mood for any film: no expectations. If you expect too much, you may be let down (take note for any Kubrick film). I watched the entire film without interruption and came out with a great feeling. ""The Blair Witch Project"" is one darn good movie.

Many critics and moviegoers complained about the film for its length, its amateurish photography/editing, and its lack of adequate acting. I feel these things MADE THE MOVIE. First, the film has to be at most ninety minutes long: any more, and it would be too long and boring. Second, the amateur video take gives the audience the feel that they are actually in the woods, listening to the rippling water of the creek, snapping branches under their boots, and hearing things go bump in the night. I greatly admire the use of two video cameras (one black-and-white, the other color) to denote which character is shooting the film. Lastly, the incessant screaming of whiny Heather, the constant complaining of average-joe Mike, and the Dudley-Do-Rightness of Josh make for great acting. Yes, these are regular people and up-and-coming actors from your local community theater, but YOU KNOW THEM. You've met people like them.

The biggest complaint, however, comes from the film's supposed ""lack"" of scary moments. This film reminds me of the classic horror film ""The Texas Chain Saw Massacre,"" and though not as gory and as shocking as that film, ""The Blair Witch Project"" shows just enough fright in the group's search for a way out of the woods, stalked by people and/or things they may never understand. In the older film, the long interval between opening credits and first gory act of violence is about thirty minutes long; it is even longer here, but the suspense/fright (just as in the older film) begins right from the opening credits: you just don't see it until the film's over. These are three people out to make a documentary in the woods with handheld camcorders--these are REAL PEOPLE. And GREAT ACTORS. Heather whines a lot and screams and reminds you of the girl you hate so much you fall in love with her. Her screams sound real, her cries are genuine, and she is DEEPLY DEEPLY sorry for bringing the others into the woods in order to film her documentary.

I really dig the beginning. It seems so real to me I may delve into my old home movies for nostalgia. Heather and Josh pick up Mike, then go to the store for supplies. This opening sequence really packs a punch. These are three Generation Xers out for a camping trip. We all know what happens to them, but we're glued to the screen, intent to know what actually happens.

The interviews give us some detail into the Blair Witch legend, but most of the audience is too busy thinking about the actual trek into the woods that they don't listen. This is wrong. Listening is good. The interviews, which also sound real and not rehearsed in any way, are like movie reviews: the critics tell you what they saw, but mostly they don't want to ruin it for you...unless they hated it.

And that's what I'll do. I won't ruin it for you. 8/10.","8"
"great_sphinx_42","An Experiment In Fear","1 May 2001","Hmm. Wow. What is there left to say? I've waited for most of the hype to die down to even add my comments for this movie to IMDB, and here they are:

This is really a movie that has polarized a lot of people. Many love it and consider it the best thing since sliced bread, and plenty more absolutely hate it and call it tripe, drivel, awful, wretched, the worst ever, etc. (NOTE: as far as I'm concerned, the opinions of anyone calling any movie the best- or even more especially, the worst- movie ever are to be immediately disregarded.) Highly innovative in its way, it spawned many parodies and an interesting but inferior sort-of sequel. In the summer of Star Wars: Episode 1, this was the movie that originated several cultural symbols.

I saw this movie shortly after it opened in wide release. Sitting in a theater surrounded by my friends with popcorn in my lap and watching Mike and Heather run around some creepy old house, I felt for the first and last time in my adult life *real, creeping fear* when I myself was not in danger.

Many have complained about the shaky-cam, the cussing, how nothing 'really happens', and that it's not scary. By and large, the camera is not *that* shaky, at least to the point where you can't understand why- they're tromping through the woods and they're scared half to death. I must not get queasy very easily, as I had no problem with it. As for the cussing- the lines were ad-libbed, the actors are college-age, and all three sound exactly like every American college student I've ever known. So maybe people have a problem with young peoples' language, but what else is new? That's not a flaw of the movie- it's realism and part of why so many more young people found TBWP scary.

I think at least some of the dissention in opinions is caused by generational and cultural differences. My mother's friends told me it wasn't scary, but that 'Psycho' terrified them. 'Psycho', while interesting and a classic, is not the least bit scary to me. 'The Excorcist' has only a couple scenes that I find frightening, but my mom breaks out in goosebumps at the mere mention of it. The scariest thing I ever saw until I watched this movie was a reel in a collection of horror shorts: a woman walks into her house carrying groceries, drops her keys down her heating vent, bends down to try to get them, and something grabs her scarf. She struggles, but within a minute or two, she's drug down and strangled. The scarf goes slack, the woman is lying dead on her floor, and that's it.

TBWP is about what you *can't see*, about how your fear of the unknown is so much worse than what the unknown could probably ever be. The characters were not even necessarily likable, but they were *familiar*- Heather is the girl I sit next to in film class who thinks she has all the answers. Their mundane existence, captured in the beginning of the film, roots them in reality. What happens to them is terrifying because they are so every day, so interchangable with millions of other college kids. And, finally, you never know whether the Witch exists or not. Everything that happens can be explained away by coincidence, pranksters, bats, hunger, exhaustion and imaginations run wild with fear- or you can choose not to explain them away.

Young Americans are not scared of much- school shootings can roll off us like water, the evil human beings inflict on each other is run-of-the-mill 6 o'clock news, we are raised in a culture that claims to worship a vengeful, elitist god while almost everyone is hypocritical and uses the power of spirituality as a way to abuse others. We are in information overload from birth. What we fear is not knowing. And in the Black Hills Woods of Maryland, just beyond the flashlight's reach, something is making strange and terrible noises- but we don't know what it is.","9"
"Xophianic","Not ""scary as hell"", but still good","6 February 2000","I've never seen the tide turn on movie reviews before like I did in THE BLAIR WITCH PROJECT. First, I heard this movie was the scariest movie since THE EXORCIST, then I heard it was the worst movie of the year. When people thought it might be real, they loved it. Then, when everyone found out it was fake, I heard all sorts of bad things about it.

THE BLAIR WITCH PROJECT is about three young filmmakers, Heather Donahue, Michael Williams and Josh Leonard (actors with same names as their characters), go out into the woods of Burkittesville, Maryland to do a documentary on the mythical Blair Witch. They are never found, but a year later their footage is discovered, and it seems to indicate that there really was a witch and it was stalking these three filmmakers.

I did not find THE BLAIR WITCH PROJECT especially scary, although it was rather spooky. I did think it was good, with an excellent and very original plot. The acting in this movie by the three young kids was very good, especially if the rumors about how they improvised most of it were true. The character development was well done, and you will often find yourself waiting for daylight along with the characters.

Was this movie overhyped? A little, but I think if it wasn't that it wouldn't have been as successful, since the actors, writers and directors are relatively unknown. They did a very good job and I hope to see more works from them in the near future.

Sure, some of the realism could've been better. Even I knew that they should've followed the stream out of the woods instead of going deeper into the forest. And if this was happening to me, I doubt I'd pick up the video camera and tape it all instead of running like hell. But it still worked. I think the scariest part is how you don't see as much as you hear, because often the sound is 10 times worse than the thing making the sound.

This movie isn't too scary, but if you watch it in the middle of the night with all your lights off and alone, it will successfully freak you out. It's worth a rent or a buy, judge for yourself.","9"
"filipemanuelneto","One of the smartest and most excellently shot horror movies where what we don't see is what really makes us afraid.","20 April 2022","I was too young to be able to see this movie when it first hit theaters, but I saw it a few days ago at home, although it's obviously not the same thing. Even so, I was really pleased with what I found. It's not an absolutely perfect film, there are some things there that I would change, if I were the director, but they are issues of such little importance that I feel that they do not detract from any merit or quality from the finished work.

The film was a quasi-experimental production, with a very low budget, with young and unknown actors. However, the quality is evident and is intelligently associated with the advertising campaign that was put together to sell it and make it profitable. In fact, this film is perhaps one of the best examples to show the importance and weight of publicity for the receptivity and commercial success of a film: even today there are people who believe that the story told in the film is real, that the Witch really existed, that those young people really disappeared...

The actors' work is impeccable. After reading a bit, I discovered the importance of the way the film was shot for the final result, with the actors alone, isolated in the woods, firmly believing in what they were doing and permanently in the characters. They lived the experience, and they believed in it. They weren't acting for us, they were acting for themselves and believing in their acting, giving the characters a real personality, worthy of our compassion and sympathy. This turns out to be something that holds and seduces us to a certain extent, leading us to wish that everything is true, although we do not wish any harm to any of the actors, of course. They are also responsible for all the shooting work, and their poor ability to shoot in 16 mm explains why the film has such shaky and amateurish cinematography, even though this is intentional and something that makes it more genuine in our eyes.

Stripped of expensive effects, great technical apparatus or other resources, the film bets everything on extremely basic but functional resources, and on an almost military discipline that prevailed throughout the eight days of shooting, in which the actors maintained minimal contact with a production that acted like a ""big brother"", attentive and watchful but invisible. Children's voices over loudspeakers, the strategic waving of the tent at the right moment, sticks that break without anyone seeing... simple but scary resources when you're alone, in the middle of a dark place, where anything can happen and no one will know. What is frightening about this film is not what we see, but the anticipation, the skillfully constructed tension, the almost certain prospect of a disaster that we don't know when it will happen. It is our imagination and our mind that frightens us, suggested by the film. And I don't see how terror can work more subtly and intelligently.","10"
"AlsExGal","Much better than its reputation","19 December 2009","It seems many people dislike this film because they think the entirety of its reputation lay in the confusion/publicity campaign generated at the time of its release as to whether it was a real film found in the woods of Maryland that documented the disappearance of three college students or whether it was just a movie. What made this film scary in 1999 and scary now is what you don't see and what you think you hear as well as the growing paranoia and fright of the college kids lost in the woods over a period of days that find - as they run out of food and supplies - that they are just wandering in circles.

The very last scene is particularly chilling, and if you already know how it ends it will kill some of the fright factor for you. However, this film just proved in 1999, as it still does, that you don't have to fill a horror film with wall-to-wall state-of-the-art CGI visual effects and shocking violence in order to be scary. I personally think the horror genre has been much worse off since Jason and his ilk first invaded the movies back in 1980 with graphic violence that is predictable and, quite frankly, boring. Although I like this movie, the sequel, ""Book of Shadows"", is just awful. Its makers Hollywoodized the original concept and thus made it completely incoherent and unwatchable. Avoid it at all costs.","7"
"mattysharpe-50266","Still to this day... DISTURBING & TERRIFYING","29 June 2022","Okay so I've watched this movie over and over and over again over the past 23 years, everytime it gives me the chill factor and no other 'found footage' movie has beaten it. The sequel 'book of shadows' was absolutely mortifyingly bad, 'Blair witch' meh, better but nowhere near as good. This is literally one of the best horror movies of all time in my opinion. The less you see, the better your imagination makes up for.","10"
