"reviewer_username","review_title","review_date","review_text","rating"
"FeastMode","I'm BEGGING you, please make Rated R movies","31 March 2022","Movies like Venom and Morbius need to be Rated R. They would be significantly better if they weren't restrained. And we've now seen multiple highly successful Rated R superhero movies (Deadpool, Logan). I'm BEGGING the movie studios to have the courage to go all out.

But that's far from the only reason this movie failed for me. Venom was still awesome as a PG-13 movie. So why didn't I love this? I love superhero movies. I love vampire stuff. This should have been a layup for me. It didn't even have to be good. Entertaining and cool would have been enough.

Unfortunately this movie is a complete mess. It's poorly made in most aspects. The story is disjointed, the dialogue is basic, the character depth is barely there, the relationships are superficial. But all of this could be forgiven if you just give me awesome, entertaining action scenes. My friend put it best: ""The action was gibberish."" You couldn't see anything.

I really tried to like this movie. I tried forgiving the poor quality in hopes of some mindless entertainment. But it never came. And the climax/conclusion has zero impact.

The only things that stood out to me as positives are one early action scene, and the visuals during the action scenes. The action itself is terrible, but the effects during some of the slow-mo shots are visually appealing.

After a fantastic start with Venom (8 stars) and Spider-verse (8 stars), the Sony Marvel side universe has faltered with Venom Carnage (5 stars) and failed with Morbius. Please do better. I know you are capable of making great movies. (1 viewing, opening Thursday 3/31/2022)

SPOILERS (also for Spider-Man: No Way Home)

The mid-credits scenes are... puzzling. They show the sky-splitting effects from No Way Home, and the Vulture transfers to the Sony Marvel universe. I can't come up with any logical reason this would happen. In No Way Home, they sent everyone back to their universe of origin. But for the Vulture, that's the MCU. So why would he switch?

On top of that, they have this super weak Sinister Six setup. And it doesn't flow with where the character Morbius is at the end of this movie. He seems to be ""a good guy,"" but now he wants to join a villain gang? I guess you could argue that they're not know to be a villain gang at this point, but as a viewer it doesn't feel right.

1) The post credit scene in Venom Carnage teases us with the possibility of beast Tom Hardy as Venom vs MCU Spider-Man.

2) Immediately followed by a middle finger to the fans when No Way Home cancels that possibility by sending Venom home.

3) Now this Morbius mid-credit scene debacle.

I have to ask, what were they thinking?","3"
"hifiman-62270","Far better than expected","8 November 2022","I expected Howard the duck such was the hate for this movie. Instead I got a short, dark sometimes quite violent slice of entertainment. Not the usual overcomplicated. Overlong marvel stuff that all end up being the same. Matt Smith and Jared Leno gave excellent performances and the special effects for a medium budget movie were very different but still very good. It's a simple origins story and to me I think Jared Leno may be the cause of bad reviews..maybe because he wasn't the Joker of choice and that's a problem for some people. But reviews suggesting this is some kind of disaster turkey are absolutely wrong.","7"
"paul_haakonsen","Turned out to be rather enjoyable...","10 April 2022","I have to admit that I had really been looking forward to watching ""Morbius"" ever since I saw the first trailer. And having been reading the comic books, I will say that Michael Morbius is one of my favorite Marvel characters, so it was nice that the character was finally brought to the big screen.

But then the movie was delayed and delayed again, and once finally out a lot of bad reviews were swarming the movie, so I was actually somewhat reluctant and hesitant about actually sitting down to watch it. But I decided to ignore the bad reviews and go see how the movie would treat the comic book character.

Writers Matt Sazama and Burk Sharpless managed to put together a fair enough storyline. I will say that it was aimed more at an audience fully and wholly unfamiliar with the Michael Morbius character. And I can understand that approach to the first movie with the character, as to introduce a whole new audience of viewers to the character, and not go in on the deep end and do fan service to us whom have been reading the comic books for years.

Personally I had hoped for a bit more in terms of story, but it was actually adequate enough in terms of entertainment. An origin story for a character new to the cinema screen is in its place, I suppose.

I was also somewhat hesitant about it being Jared Leto to don the mantle of the living vampire, given the swing and miss performance of Joker in the 2016 ""Suicide Squad"", but then again he was amazing in the 2000 movie ""Requiem for a Dream"". Thankfully, then his performance as Michael Morbius was quite good and actually was suitable for the character from the comic books.

Visually then you are in for quite a treat, given the fact that this is a Marvel movie. The CGI and special effects are quite impressive in the movie, as they are in all Marvel movies. So if you enjoy flashy CGI and special effects, then ""Morbius"" doesn't disappoint.

All in all, then I will say that I was more than adequately entertained by the 2022 movie ""Morbius"", though I had hoped for a bit more in the story department. But hopefully the future will add more layers to the character and his story.

My rating of director Daniel Espinosa's 2022 movie lands on a seven out of ten stars.","7"
"Thanos_Alfie","Simple start...","31 March 2022","""Morbius"" is an Action - Adventure movie in which we watch Dr. Michael Morbius, a biochemist trying to find the cure behind an extremely rare blood disease. He infects himself and he is completely changed by it.

I have to admit that I do not understand the reason behind the low rating of this movie. I am not saying that it's a masterpiece and it does not have any flaws but it does not also worth that low rating. I can understand that it's small duration didn't help the main character to evolve and I believe that there was not enough time for the end of it. The interpretations of both Jared Leto who played as Dr. Michael Morbius and Matt Smith who played as Milo were good and their combination worked very well. To sum up, I have to say that ""Morbius"" is a nice, entertaining action movie and I recommend you to watch it because I am sure you will enjoy it and I advise you to lower your standards before watching it otherwise you will be disappointed.","6"
"ethanbresnett","An absolute mess","8 April 2022","Morbius is one of those rare films that pretty much gets everything wrong.

The story, the character development, the action... everything about it felt very dated and messy, with practically no redeeming qualities to be found anywhere.

There was no depth to any of the characters which made it so hard to get invested in what was going on. In truth I don't think any of the performances were bad per se, but they were all so bland.

It didn't help the characters that the writing was so poor. They had no faith in the audience at all, spoon feeding us exposition in the most clunky ways imaginable.

The action was truly dreadful. It was either in super slow-mo which exposed the poor CGI, or it was at super speed to the point you were just watching blurs.

The story was so basic and formulaic. I hate to say it but I was actually bored watching it. The pacing also felt very off, as the film came to a very abrupt end, before subjecting us to some bonkers credits scenes.

I can forgive bad writing. I can forgive bad action. I can forgive a weak plot. But there is one thing in a film I can't forgive and that is when it leaves me bored. As a result Morbius scores a measly 3/10.","3"
"aidanratesmovies","Overdone CGI and editing aside- I enjoyed this one","31 March 2022","Entertaining and very atmospheric, Morbius manages to serve up yet another helping of campy superhero indulgence despite many little flaws. I'll start off with the problems I had with this film- that mainly being its blatant editing and CGI. I know many people say this about a lot of superhero films, but coming from a horror lovers perspective- as well as fitting the atmospheric and tone Life director Daniel Espinosa seemed to pair within it- this movie really should have been rated R. It feels like Sony really did censor and edit this one as much as they could have, with the blood and violence being as limited as possible. It takes away from the experience as a whole, one moment in particular where a man acts like his throat is cut open but there is LITERALLY NOTHING THERE. Unsurprisingly, as with the case with a lot of films like this, the CGI can be a bit overused at times. For the most part I liked the look of vampire blood hungry Morbius taken on by Jared Leto- but other similar CGI and at times that CGI itself can feel a bit too ugly and forced for comfort. The fight scenes towards the end in particular are also overdone with CGI, and I just really wish Sony would have let the people working on this film give some life to the project instead of worrying about its box office gross. I know i've complained a lot so far, but in terms of a film- I oddly did enjoy this one for the most part. Sure it's messy, Matt Smith's character is a bit over the top and it has some formulaic moments- but it is a very entertaining film. Leto and Arjona give their all to their performances and it has a lot of cool ideas and concepts that are interesting to see fleshed out on screen- particularly with Morbius in particular as he begins to learn how to control himself. There's a lot of humanity hidden beneath the surface in this film though, even with some formulaic moments, there's a lot of depth and heart put into the titular character and it really allows you to empathize both with the film's story as well as Leto on screen. In the end, I enjoyed Morbius- it is far from perfect but it was a solid superhero endeavor and I'm curious to see what they may do with this character next.

My Rating: 6.3/10.","6"
"DeadMansTrousers","People need to learn to enjoy movies without comparing them","1 April 2022","This is not your favourite huge budget Marvel movie like No Way Home, this is a introductory film of a somewhat niche character and if you compare any comic film to something like No Way Home it will fall flat. I went into this with an open mind and I had an enjoyable time. It's a different type of Marvel film with dark humour and I enjoyed myself while watching it. I am familiar with the character and have read the comics and I was not disappointed with what Leto and Smith respectively brought to their roles. I think if you are able to enjoy a film without nitpicking at it then you'll have fun with this.","7"
"JoBloTheMovieCritic","Morbius","2 April 2022","6/10 - I don't know what all the fuss is about with this one when the quality matches that of either Venom movie and while I didn't love the visual design of the vampires, I thought the cinematography, VFX, sound design, and Adria Arjona (who is now on my ""Actors to Watch"" list) really elevated the relatively weak story.","6"
"FlashCallahan","Snore-bius","10 April 2022","Dangerously ill with a rare blood disorder and determined to save others suffering his same fate, Dr. Morbius attempts a desperate gamble.

While at first it seems to be a radical success, a darkness inside him is unleashed.

Will Morbius succumb to his mysterious new urges.....

You know when a studio knows that a film may be in trouble, when they plaster the Marvel name everywhere on the poster, just in case nobody knows who Möbius is. And this film is a lot of trouble.

It's nowhere near as bad as a lot of reviewers have said, but its the same as saying a hammer to the foot is better than the hand. It's clunky, unfunny, and worse of all, boring.

Leto looks so uninterested with his character, and lacks the oomph that Möbius needs. Yes, whilst he is in vampire form, it's undeniably pretty cool to look at, but its all CGI and only took a green screen and Leto wearing a few ping pong balls. So Leto is a major problem, he's a good actor, and has been in some fascinating films, but this is him just phoning it in.

The rest of the cast are okay, Smith is really chewing the scenery with his Milo, and whereas in other films he would grate like Ruby Rhod, he brings some much needed life to the film when he's ever in it.

The nods to the MCU are so in your face, that it makes you wonder if the studio thought the audience would forget it's in the MCU. There is a daily bugle, and then the end credit sequences that are only there just to reiterate to the audience that they are watching another MCU film.

The boat is named the Murnau a nod to Nosferatu, Möbius uses his lab like a gym, a reference to The fly. This just makes you want to watch those films, because they are infinitely better.

And if the slow motion was taken out of this film, it would only be fifteen minutes long, there is that much in this film.

It's too dark to be camp, too self-absorbed to be funny, and this is what the film desperately needs.

It's one of those films that you will go back to again and again, just for the 'what the' factor.

It's not the poorest comic book movie ever made, the remake of Fantastic Four holds that crown, but it's on a par with Superman 4 and Batman & Robin, rubbish, but for some reason you can't help but watch it every once in a while.","5"
"goswamidiptanshu","Its a Decent movie!","19 May 2022","The pacing is tight and the action was awesome, the colors effects while in a fight was looking amazing, the story was decent as a origin, The 1st half was good although the final act the last 30mins were little meh, the villian's suddenly gone rogue was little odd felt like it just happened and the Nurse's stuff felt lost at the end with it the post credits just didn't make no sense considering the man morbious was. Overall 1st half was good and the ending felt little mess although its a part entertaining and a decent watch.","8"
