"reviewer_username","review_title","review_date","review_text","rating"
"taj-james-holmes","Undeniably Atmospheric","9 May 2020","There's an atmosphere to Twilight and that much you simply cannot deny. I can't help but be engrossed by the way that this movie captures the beauty, dreariness and nature of the Pacific Northwest. A memorable score and soundtrack heighten Catherine Hardwicke's broody, yet still enchanting tone. Elliot Davis' cinematography under her direction replicates the indie flair prominent in her other features, this is what separates it apart from the commercially realised sequels that followed. It's a hot and cold, gothic romance with just enough high stakes to enchant you until the very end. If it's raining, you can best believe that I'm slipping into something comfortable and putting Twilight on.","7"
"hazeleng","Guilty pleasure","7 August 2018","If I saw the movie now for the first time I know I probably will hate it, but the 11 year old me was so love struck with it. Honestly no movie these days makes me this happy anymore. Also I think this one (the first movie) is so much cinematically pleasing. I enjoy the dark blue rainy vibe & the shaky camera a lot. This movie is my guilty pleasure. 10 for the nostalgia feelings.","10"
"MrHeraclius","Twilight","20 February 2020","I think this movie suffered from lack of a good script and bad acting.",NA
"Smells_Like_Cheese","Twilight! Twilight! Oh, my... Twiiiiiiiiliaaaaaaaaaaght!","26 November 2008","That was my interpretation of this weekend that I had to endure working at my movie theater, all these little hormone crazed brace wearing under developed young girls who I think would've just about died with the anticipation of seeing Twilight, I'm not kidding, I personally witnessed a twelve year old say that she wanted to have Robert Pattinson's baby. OK, so how I saw the movie, my sister, ironically my older sister has been just raving about the Twilight series with her friends and told me that I have to read these books, after weeks of bugging me with it, I finally broke down and read them. Actually it's kind of a fun series, it reminded me of the same love that I had for the TV series Buffy the vampire Slayer when I was a young teen. But of course she has to take me to the midnight premiere with 100,000 crazed fans who were knocking each other down and crawling all over each other just to see a movie.

Bella Swan has always been a little bit different, never caring about fitting in with the trendy girls at her Phoenix high school. When her mother remarries and sends Bella to live with her father in the rainy little town of Forks, Washington, she doesn't expect much of anything to change. Then she meets the mysterious and beautiful Edward Cullen. Intelligent and witty, he sees straight into her soul. Soon, Bella and Edward are swept up in a passionate and decidedly unorthodox romance. Edward can run faster than a mountain lion, he can stop a moving car with his bare hands - and he hasn't aged since 1918. Like all vampires, he's immortal. But he doesn't have fangs, and he doesn't drink human blood.

So, my opinion about Twilight the movie... honestly, it's average, it's my junior high romance with a vampire. I hate, beyond hate to say this, I'm a hypocrite for saying this, but because I read the book before I saw the movie, I had this completely different interpretation of what the characters look like and how they say certain lines. Twilight the movie made me laugh more than anything simply because of the actors, Robert and Kristen are not bad actors, but the way they talked, I just couldn't take their ""love"" seriously. Peter Facinelli who played Carlisle Cullen, Edward's father, was exactly how I pictured and pulled in the best performance of the film. Is it worth the watch, absolutely if you're a fan of the books, otherwise, I would say if you just wanna see this movie, I recommend the matinée price because honestly, I think I may have lost my hearing after this weekend of the none stop screams from crazed teens.

5/10","5"
"PrincessHotDog","iconic","21 February 2023","10/10 sorry but it's so iconic.

I think the first movie is the best from all. The atmosphere, the colour palette, the costumes, the details, the music (omg the music is so fantastic) and the most important is the landscape, the nature its all giving THE VIBE.

The acting well not the best but honestly I can deal with that cause all the things that I listed above saving the whole movie.

Kristen Stewart and Robert Pattinson such an iconic duo. To be honest I'm so happy to see that after this saga they went to another movies, genres and proved that they have so much talent. I think it was such a learning curve for the actors.","10"
"The_Amazing_Spy_Rises","So bad it's ALMOST good.","21 November 2008","NOTE: This review is the fair and unbiased opinion of someone with extremely little knowledge of the Twilight series. I watched the movie with a few die hard fans who I talked to after the movie, and I will work some of their thoughts into the review.

Another much loved book series has been brought to life in the form of Twilight, which despite having nothing in common with the Harry Potter series, will undoubtedly draw comparisons because of the furor and craze surrounding it. The main difference between the two, however, is that the Harry Potter films are generally good and solid films. Twilight, despite having done a couple things right, is not.

As a story, I will admit, Twilight is very catchy and interesting. Now I see what all the hype is about. If I was a young girl, I would go nuts over this stuff too. It's not just a vampire and a human falling in love with each other, but because of the two leads, it's one of the best on screen romances of the decade. This, however, is severely hurt by the fact that Twilight boasts easily some of the worst writing and editing I've ever seen. Let's not forget about the horrid VFX and pasty makeup, either. It's one of the cheesiest films of the year, and can definitely be put in the category of ""so bad it's ALMOST good"". Yes, I just invented that category.

The 'allure' of the film appears to be the character played by Robert Pattinson, who ironically was previously known for his role in the Harry Potter series. Pattinson succeeded there and he more than succeeds again, as he more than fit the bill for what he needed to do with the character. Most actors would believe the only requirement of the character is to be good looking, but Pattinson takes it a step further and makes Edward Cullen very likable, trustworthy, and in the end, a good hero for the audience. Kristen Stewart is sort of the queen of not showing facial expressions, so she's perfect for the role of the awkward teen Bella Swann. However, there were sometimes where her lack of emotion bothered me.

Our supporting players...Well, none of them are noteworthy like Pattinson is. The villain of the film is lame, cheesy, and played by an actor I can't take seriously. Nikki Reed is probably the best as Rosalie, Edward's 'sister', and the antagonistic vibe felt from her adds a different side to the movie.

Okay, I don't really know what possessed the writer of this screenplay to make it so horrible (was it the source material?), because the dialog is just so bad that I laughed at serious moments. There's a lot of intentional humor, mostly in the beginning when Bella and Edward feel like awkward teens in love. I guess the movie moved along okay, because I wasn't bored at all. I was either laughing at how stupid the dialog was, laughing at some of the mildly funny jokes, or getting pulled in by the electric chemistry between Stewart and Pattinson.

That, folks, is the reason most people will be able to sit through this movie. The chemistry between the two leads, romantically and sexually, is amazing. In this respect, Pattinson and Stewart are perfectly cast and it makes me wonder if they could end up together in real life some day. I was very surprised by how much I liked seeing their one on one scenes, as cheesy and bad as the VFX and editing are.

As far as these visual effects go, I've seen a few vampire movies in my day. I'm going to assume director Catherine Hardwicke has seen a few. Well, she needs to watch a few more. Her fight scenes are horribly choreographed, terribly shot, and lack the intensity required to successfully rouse her audience. I could almost notice the wires the actors flew across on. I noticed a ton of errors with the editing as well, such as basic stuff like mouths moving and no words coming out, and words coming out when no mouths were moving. The fight scene at the end has wicked bad editing too, as the sound mixing also suffers as well.

All in all, with Twilight, as bad a movie as it may be, I couldn't help but stay interested in it because of the electric chemistry between the leads. That alone kept me in the seat the whole time. It is technically one of the worst films of the year, but the entertainment factor in the above respect keeps it out of the company of movies like Disaster Movie and College. I was actually lucky to see it with some of the fans of the book, and all of them (5) described the movie as a 'disappointment' and that the film went 'half way' with some subplots, either starting and dropping them, or randomly starting them halfway through an individual subplot. They were not happy at all with this movie, but agreed on one thing: Robert Pattinson was the perfect Edward Cullen. I'll agree with them on all those points and say that Twilight is exactly what I thought it would be: so bad it's ALMOST good.","4"
"a-07779-75123","It was a great start of a film saga and i do like how it blends in horror and romance together.","15 August 2020","This is awesome part of franchise ""Twilight"" because gteat atmosphere, cool soundtrack.","7"
"Horst_In_Translation","Like it or not, the relevance cannot be denied","15 March 2016","""Twilight"" is the first film from a series of five movies based on the literary works of Stephenie Meyer. I do not want to say this took over from Harry Potter as the big movie franchise as Potter was still running at that point, but it had pretty much the same impact on young people back then. ""Back then"" sounds somewhat strange, but the first film is already almost a decade old, so it is an appropriate description. In order to appreciate this film (and the sequels), it is essential what you expect before actually watching them. If you expect a new ""Godfather"", you will of course be disappointed. But if you expect a fantasy film that is not scared of going over-the-top on many occasions during its two hours runtime, then you may have a pretty good watch here like I did.

Let us look at the cast: Kristen Stewart is one of the most talented actors from her generation and was a pretty successful child actress before this film already. Needless to say she was the perfect choice for the character of Bella Swan. She carries the whole franchise tremendously and her talent is absolutely visible. Robert Pattinson made Harry Potter fans fall in love with him and that was certainly the turn that gave him a shot at playing Edward Cullen. I do think he is a better actor than he is allowed to show here and despite a couple not-so-good moments overall, he works the part. Thumbs up for him too. Finally, Taylor Lautner: He is clearly the least talented actor from the lead trio I guess. Luckily here, he does not really have that many moments to show us his (lack of) talent, but it becomes painfully visible in the next films when his character's impact increases, also the one on Bella's life. The supporting actors, especially Billy Burke who plays Bella's dad, are pretty good too.

Finally, the story: Yes the writer here, i.e. Melissa Rosenberg, who also worked on Dexter, totally makes sure we never forget Edward is the greatest, fastest, most eloquent and most desirable male on the planet in general. And Bella is the new queen of their school that every male wants to be with and go to the prom with. It is a bit cringeworthy sometimes and there are moments of schmaltz, such as the ""maybe I am the bad guy"" quote, but let us always keep in mind for whom this film was made. Young teenage audiences that do not see the ridiculousness of such statements and suck them in, even really love them. Let them have their fun I say, we grown-ups can smile at these parts, but not in a condescending manner, and enjoy those sequences that included better quality. There are more than just a few.

What I liked maybe the most about the film, apart from Stewart's star-making turn, is how nicely clean-structured it is. The first part is about Bella's new life in her dad's town. Second part is about getting to know Edward (and his family) and fall in love with him. Last part is about a gang of actually evil vampires and how the good vampires fight them in their attempt to protect Bella. It's all a bit predictable, but that is not a problem at all in my opinion, because it is nonetheless fun to watch for the most part. And let's be honest here, the music in this movie, especially the soundtrack, is truly outstanding. I recommend ""Twilight"", a really strong beginning to a good franchise. It's tough to decide for me if this first film is the best of them all or if one of the final two films still tops this one, but maybe you can make a clearer decision. You really need to check this one out. Highly recommended.

Okay, the above is my review from March 2016 and today (end of 2022) I had the chance to rewatch this opening to the Twilight franchise on the big screen. I was not sure if it would be such a good idea to go, but eventually now I am very glad I went. What a fascinating movie! They initially planned to show it only once and even if it was a really big room with so many seats, it was sold out so quickly. Consequently they added two more screenings and one of those I picked today. There were still many viewers, probably everybody who did not get tickets for the night before. Anyway, the audience members' approaches differed, but they all made sense. I heard many people laugh during the screening and I cannot blame them. There were really many moments that you just could not take seriously at all, even if they were meant in a serious manner. No matter if we are talking there about the behavior between the two main characters or about certain quotes coming from them. The idea of Stewart's character wanting to become a vampire in the end was also surely on the exaggerated side. I already mentioned how they told us in a not exactly subtle manner (for example Kendrick's character's comment on Edward Cullen) how amazing and gorgeous the two protagonists are, but this also extends to their families really. I mean Bella's stepdad is a professional baseball player if I understood correctly, so he makes million in the Major League Baseball? What a catch. No pun intended.

Female viewers were also very delighted to see Peter Facinelli in here and I find it interesting how the actor looks so different without the light blonde hair. He is maybe one of those who did not manage to make huge waves in the years after the Twilight franchise (ended). Stewart is an Oscar nominee now. Pattinson is the new Batman, so these two really stand above everybody and nice casting decision for sure picking them to lead the franchise. But also who would have guessed that Anna Kendrick back then would be the first to score an Oscar nomination from the cast really very briefly after this film here!? Plus she probably even finished second in her category. Impressive. I already stated in my original review that I like(d) Billy Burke here and nothing has changed. He even had the funniest moment for me from the entire film, especially if we are talking about moments that were really meant to make a comedic impact and with this I mean what he does with the gun in his hand when he hears that he is about to meet his daughter's new boyfriend. There was so much in this film that was unintentionally funny. Just take the sparkling. Do I have to say anything else? If you decide to give this film here a watch, you will laugh every five minutes, perhaps even more often. But I cannot even be mad at them or say it ruined the film because in fact this was still a very exciting watch and this film will entertain you more with its simple formulas than 80% of all other films. Maybe 90% even. When they go up against the tracer or what he was called, it was also interesting dramatically because the entire romance plot was out of the picture for a little while. Besides, ""Supermassive Black Hole"" will always be an amazing song. Loved it for years. The use of this song with the baseball scene starts the dramatic conflict that puts Bella's life in danger. This culminates inside a mirror cabinet in which Bella as a kid took ballet lessons. Makes me wonder why she cannot (or does not want to) dance if she has such a background. Okay, she is just clumsy we get it. This was also repeated on so many occasions, probably to make sure that the girls in the audience back in 2010 would identify with her and too much perfection would have been detrimental. Clearly they did not want people to hate, but to adore her. It comes pretty easy I say.

Of course, there is also this critical love story between Stewart and Pattinson from back then that turned fairly ugly in the end, but as long as the series went, they managed to keep it up. With what happened between them and especially what Stewart did to him. They probably won't have anything to do with each other again, but I still wonder if we will see the duo in the same movie again at some point. I myself would find it totally interesting to hear what they think about this Twilight movie now in 2022. Or think about the entire franchise even. An audio commentary for the film with these two would be the best thing ever I guess. They don't even have to record it together, but what an add-on it would be for a 20th anniversary Blu-ray or something perhaps. One person we have not really talked about yet is director Catherine Hardwicke. The reason is that there is maybe not too much to say about her. This was an early career effort here and she had some okay big screen releases before and after this film, but eventually her career led her back to the small screen where she did what she had to do to find work for years to come and also release some decent episodes. It will probably stay this way for a few more years until she retires. Kinda interesting for example to see that she also directed episodes of ""This is Us"" not too long ago. With this 2008 release here she did what she had to do. Like with the aforementioned Potter films, this film here is not one that is a director's movie by any means. It is all about the books it is based on and the audience members crushing on the protagonists.

This film is really the ultimate example of how overacting can be intended in film and it could have turned out way worse for sure. I personally would say that there are not too many films out there with the same guilty pleasure potential like Twilight. Of course, it helps a lot if you watched the film back in the day when it was new, so it comes with a lot of nostalgia for you, but even without such a background, you can enjoy the watch here for sure if you like Stewart or Pattinson in general. Preferably if you like both of course. They are also so young here, which is kinda sweet in a way. I still had the hardest time ever to believe it when Edward Cullen tells us he is 17. Pattinson was clearly older. The synergy between these two when they work together in biology class was another cringeworthy moment how they depicted wit and harmony there. There's a hundred reasons why this is an enjoyable watch. One of those is definitely the unintentional comedy. ""Twilight"" is an absolute must-see.","8"
"brookenichole-98054","Gets me every time.","24 October 2020","I love Twilight and the whole saga. I'm not ashamed of it because I personally think they are some of the best films. Every scene is captured beautifully and the romance is compelling. The story flows naturally and made me excited the whole way through. The acting definitely improves, but for what we're given, it's quite good. And I got some laughs out of it. Overall, I love this movie and it's definitely worth your time.","10"
"tiggyjokneale","the SOUNDTRACK is amazing","17 May 2020","This movie deserves an 8 purely for the soundtrack - one of the best movie sound tracks EVER (in my opinion) and beautiful scenery and cinematography. sure, the acting isn't great, nor is the script writing, however this movie is an enjoyable watch and a romance classic","8"
"AnnaShade","Pretty Good for What They Had to Work With","21 November 2008","I have read the books, and the first thing I noticed was that the story wasn't about a plot line at all. It's about the characters and what's going on with them. Stephenie Meyer focuses on interaction, not on dialog, plot, or setting, which is fine. But it makes for a bad movie.

Surprisingly, Twilight wasn't that bad of a film. I expected it to be much worse. As I said, there's very little plot or dialog in the book, so it's hard to make a convincing film. They had to over act looks to try and communicate without many words. I could probably count on one hand the lines in the movie.

Other than the over acting, it wasn't bad. There were some very good moments and some very ""eh"" moments. But overall I would recommend it to Twilight fans. I probably won't ever want to see it again, but it's okay at midnight with some school friends who like it or something.",NA
"Xstal","The Lost Boys & Girls...","24 August 2022","What would you do, if a vampire captures you, sends your heart into a spin, vessels bursting out your skin, only drawback is he's keen, to suck the life out of your spleen, though he'll hold back at his leisure, to ensure you get your pleasure, competition soon arrives, puts your man in overdrive, all the passion and the gory, to lay claim to all your glory.","6"
